"","UsedAIPreviously","ChatGPT","Dalle","ChatSonic","Claude","Bard.AI","LaMDA","Jasper.chat","Socratic","Bing.AI","Other","HowManyTimesUsedLastMonth","AIReliableInfo","AICreateUsefulThings","AIProvidesAccurateInfo","AIEasyToUse","AIEnjoyableToUse","IFearOthersUseofAI","AIWillChangeMyLife","FriendsUseAIPersonalLives","FriendsUseAIStudyLives","IUseAIToSupportStudies","AIIsValuableToMe","AIComplexToUse","AIHelpsMeLearn","LecturersUseAISupportTeaching","IUseAIToPlanWork","IUseAIToHelpMeCreateWork","AISystemsWontHelpMeStudy","UniShouldBeAwareHowAIUsed","EasyToCheatWithAI","EasyCatchAICheats","AISystemsGaveMeInaccurateinfo","UniShouldShowMeHowToUseAI","AISystemsWillDevelopSafely","GovernmentsMustDoMoreToProtectFromAI","AISystemsWillBecomeSentient","AISystemsPoseNoDangerToUs","Gender","QualificationStudied","Year","Region"
"1","Yes","1",1,0,0,0,0,0,0,0,0,0,"Strongly disagree","Neither agree/disagree","Strongly disagree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly disagree","Disagree","Neither agree/disagree","Disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree",NA,"Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly disagree","Strongly disagree","Prefer not to say","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"2","Yes","1",0,0,0,0,0,0,0,0,0,0,"Agree","Strongly agree","Neither agree/disagree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree",NA,"Strongly agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Male","Postgraduate masters degree or equivalent (MSc, MA, etc.)",2000,"Asia"
"3","Yes","0",1,0,0,0,0,0,0,0,0,2,"Neither agree/disagree","Strongly disagree","Disagree","Agree","Agree","Neither agree/disagree","Disagree","Agree","Neither agree/disagree","Agree","Disagree","Neither agree/disagree","Strongly disagree",NA,"Strongly disagree",NA,"Agree","Strongly agree","Agree","Agree","Agree","Disagree","Neither agree/disagree","Agree","Neither agree/disagree","Disagree",NA,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"4","Yes","1",0,0,0,1,0,0,0,0,0,2,"Neither agree/disagree","Agree","Neither agree/disagree","Agree","Strongly agree","Disagree","Strongly agree","Neither agree/disagree","Disagree","Agree","Disagree","Strongly disagree","Disagree",NA,"Disagree","Disagree","Disagree","Strongly agree","Strongly agree",NA,"Strongly agree","Agree","Disagree","Strongly agree","Neither agree/disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"5","Yes","1",1,0,0,1,0,0,0,0,0,0,"Disagree","Agree","Disagree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Neither agree/disagree","Agree","Disagree","Neither agree/disagree","Disagree","Disagree","Strongly disagree","Disagree",NA,"Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither agree/disagree","Disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"6","No","1",0,0,0,0,0,0,0,0,0,2,"Disagree","Disagree","Neither agree/disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly agree","Agree","Agree",NA,"Strongly disagree","Disagree","Agree","Agree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"7","Yes","1",0,0,0,0,0,0,0,0,0,10,"Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Agree","Agree","Agree","Agree","Strongly disagree","Agree",NA,NA,"Disagree","Agree","Agree","Agree","Disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"United Kingdom"
"8","No","0",0,0,0,0,0,0,0,0,0,0,"Disagree","Disagree","Strongly disagree","Strongly agree","Neither agree/disagree","Agree","Strongly agree","Disagree","Agree","Disagree","Agree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree",NA,"Agree","Disagree",NA,"Agree",NA,"Agree","Agree","Strongly disagree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"9","Yes","0",0,0,0,0,0,0,0,0,0,0,"Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Agree","Neither agree/disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",NA,"Strongly agree",NA,NA,"Agree","Disagree","Agree","Strongly agree","Strongly disagree","Agree","Male","A-level, level 3 or equivalent",2004,"United Kingdom"
"10","Yes","1",1,0,0,1,0,0,0,0,0,3,"Disagree","Neither agree/disagree","Disagree","Agree","Agree","Agree","Agree","Neither agree/disagree","Disagree","Strongly disagree","Neither agree/disagree","Disagree",NA,"Disagree","Strongly disagree","Strongly disagree",NA,"Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Strongly agree","Neither agree/disagree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",1996,"United Kingdom"
