UsedAIPreviously,ChatGPT,Dalle,ChatSonic,Claude,Bard.AI,LaMDA,Jasper.chat,Socratic,Bing.AI,Other,HowManyTimesUsedLastMonth,AIReliableInfo,AICreateUsefulThings,AIProvidesAccurateInfo,AIEasyToUse,AIEnjoyableToUse,IFearOthersUseofAI,AIWillChangeMyLife,FriendsUseAIPersonalLives,FriendsUseAIStudyLives,IUseAIToSupportStudies,AIIsValuableToMe,AIComplexToUse,AIHelpsMeLearn,LecturersUseAISupportTeaching,IUseAIToPlanWork,IUseAIToHelpMeCreateWork,AISystemsWontHelpMeStudy,UniShouldBeAwareHowAIUsed,EasyToCheatWithAI,EasyCatchAICheats,AISystemsGaveMeInaccurateinfo,UniShouldShowMeHowToUseAI,AISystemsWillDevelopSafely,GovernmentsMustDoMoreToProtectFromAI,AISystemsWillBecomeSentient,AISystemsPoseNoDangerToUs,Gender,QualificationStudied,Year,Region
Yes,1,1,0,0,0,0,0,0,0,0,0,Strongly disagree,Neither agree/disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Neither agree/disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,NA,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Prefer not to say,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,0,Agree,Strongly agree,Neither agree/disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,Strongly agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Male,"Postgraduate masters degree or equivalent (MSc, MA, etc.)",2000,Asia
Yes,0,1,0,0,0,0,0,0,0,0,2,Neither agree/disagree,Strongly disagree,Disagree,Agree,Agree,Neither agree/disagree,Disagree,Agree,Neither agree/disagree,Agree,Disagree,Neither agree/disagree,Strongly disagree,NA,Strongly disagree,NA,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Neither agree/disagree,Agree,Neither agree/disagree,Disagree,,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,1,0,0,0,0,0,2,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Strongly agree,Disagree,Strongly agree,Neither agree/disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,NA,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,NA,Strongly agree,Agree,Disagree,Strongly agree,Neither agree/disagree,Strongly disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,1,0,0,1,0,0,0,0,0,0,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Disagree,Neither agree/disagree,Disagree,Disagree,Strongly disagree,Disagree,NA,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
No,1,0,0,0,0,0,0,0,0,0,2,Disagree,Disagree,Neither agree/disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree/disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,NA,Strongly disagree,Disagree,Agree,Agree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,10,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree/disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,NA,NA,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2002,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Strongly disagree,Strongly agree,Neither agree/disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,NA,Agree,Disagree,NA,Agree,NA,Agree,Agree,Strongly disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,0,0,0,0,0,0,0,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree/disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,Strongly agree,NA,NA,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Male,"A-level, level 3 or equivalent",,United Kingdom
Yes,1,1,0,0,1,0,0,0,0,0,3,Disagree,Neither agree/disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Strongly disagree,Neither agree/disagree,Disagree,NA,Disagree,Strongly disagree,Strongly disagree,NA,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Neither agree/disagree,Disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",1996,United Kingdom
Yes,1,1,0,0,0,0,0,0,1,1,20,Neither agree/disagree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree/disagree,Disagree,Neither agree/disagree,Disagree,Agree,NA,Strongly disagree,Agree,NA,Agree,Agree,NA,Strongly agree,NA,Disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Male,"A-level, level 3 or equivalent",2004,United Kingdom
Yes,0,0,0,0,0,0,0,0,0,0,3,Neither agree/disagree,Disagree,Neither agree/disagree,Agree,Agree,Strongly agree,Agree,Disagree,Neither agree/disagree,Strongly disagree,Disagree,Neither agree/disagree,NA,NA,NA,Disagree,Agree,Strongly agree,Agree,Disagree,NA,Disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,3,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,NA,NA,Disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,10,Agree,Agree,Neither agree/disagree,Agree,Agree,Agree,Agree,Neither agree/disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,NA,Disagree,Agree,NA,Agree,Agree,NA,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Disagree,Neither agree/disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Disagree,Disagree,Neither agree/disagree,Disagree,Disagree,Disagree,Disagree,NA,Agree,Agree,Strongly disagree,NA,Agree,Disagree,Agree,Agree,Disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2002,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Disagree,Neither agree/disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,NA,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,NA,Strongly agree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2002,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,1,10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree/disagree,Strongly agree,Agree,NA,Strongly agree,Strongly disagree,Strongly agree,NA,NA,NA,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Female,"A-level, level 3 or equivalent",2007,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,3,Agree,Neither agree/disagree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Disagree,Agree,NA,NA,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1979,European Union
Yes,1,0,0,1,0,0,1,0,0,0,3,Agree,Neither agree/disagree,Agree,Strongly agree,Strongly agree,Disagree,Neither agree/disagree,Disagree,Disagree,Strongly disagree,Neither agree/disagree,Disagree,Agree,NA,Disagree,Disagree,NA,NA,Disagree,Agree,NA,NA,Agree,Neither agree/disagree,Strongly agree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,1,0,5,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree/disagree,Female,BTEC HNC or equivalent,2002,European Union
Yes,1,1,0,0,1,0,1,0,1,1,8,Neither agree/disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Agree,Strongly disagree,NA,NA,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Agree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,United Kingdom
Yes,1,0,0,0,0,0,0,0,1,0,0,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Agree,Disagree,Agree,NA,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,NA,Disagree,Agree,Disagree,Disagree,Male,"Postgraduate masters degree or equivalent (MSc, MA, etc.)",1977,European Union
Yes,1,0,0,0,0,0,0,0,0,0,0,Strongly agree,Agree,Neither agree/disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree/disagree,Strongly agree,Strongly agree,Neither agree/disagree,Agree,Strongly disagree,Agree,Agree,NA,NA,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Agree,Disagree,Agree,Neither agree/disagree,Male,High school,2007,European Union
Yes,1,0,0,0,0,0,0,0,0,0,3,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree/disagree,Agree,Strongly agree,Agree,Agree,Neither agree/disagree,Strongly agree,NA,NA,Agree,Disagree,Strongly agree,Strongly agree,NA,Disagree,Strongly agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Female,"A-level, level 3 or equivalent",2007,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,1,Strongly agree,Agree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,NA,NA,NA,NA,NA,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree/disagree,Female,"Postgraduate masters degree or equivalent (MSc, MA, etc.)",1995,Other
Yes,1,0,1,0,1,0,0,0,0,0,3,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,NA,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,NA,NA,NA,NA,NA,NA,NA,Agree,NA,NA,Disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Female,"A-level, level 3 or equivalent",NA,European Union
Yes,1,0,0,0,0,0,0,0,1,0,15,Agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Male,"Postgraduate masters degree or equivalent (MSc, MA, etc.)",1996,Africa
Yes,1,0,0,0,1,0,0,0,1,0,20,Agree,Neither agree/disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neither agree/disagree,Neither agree/disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,NA,Strongly agree,NA,Disagree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1996,Isle of Man
